Name,Title,aiconalt,View,State,View1,asizebase
Divakar,Better not buy online,3.0 out of 5 stars,Reviewed in India on 16 July 2018,Verified Purchase,"We have faced problem with small jar, there is a leakage, better I suggest to go with authorised dealers for electronic items, otherwise sujatha mixer grinder is one among top brands in India .... Kindly buy from shop directly .....",313 people found this helpful
Sh_amazon,Go for it!!,5.0 out of 5 stars,Reviewed in India on 22 September 2018,Verified Purchase,"After 10 years of using panasonic brand mixie and runnning to the repair shop spending 250-300Rs every 3 months to replace the bush which burns out and the grinded product is also coarse. I bought this wonderful mixie pitying,being merciful on myself and decided not to continue the self torture. I had seen this mixie in several juice shops, and if
they could survive there surely it can for domestic use. I am very satisfied with my sambhar powder, green gram bath powder which turned out fine. The masala for kulambhu's are also smooth. Thanks Sujata.",249 people found this helpful
Chintan,THE BEST MIXER IN THE MARKET,5.0 out of 5 stars,Reviewed in India on 21 June 2018,Verified Purchase,"First, we bought Bajaj mixer, very dissatisfactory. We have also had a very bad experience with Philips. Trust me, all these sophisticated looking brands do not do a good job, when you grind dosa batter or black pepper, they just disappoint you. This is THE BEST mixer available in the market, it been a year but till date, my mother praises it every time she uses it.",262 people found this helpful
R,Definitely would recommend!,5.0 out of 5 stars,Reviewed in India on 7 April 2021,Verified Purchase,"Initial impression on 07/04/2021:
Bought it via Amazon from k3stores seller.
The jar's base is made of Aluminum metal, whereas mostly other brands provide plastic bases.This could increase the longevity of the jars, but haven't faced any issue previously with plastic base too.
The jars are of good quality and heavy too.
The coupler is made of metal too, and this would definitely increase the longevity of the coupler, as most brands provide plastic ones.
The grinding and build quality are good.
But only, the mixer grinder wobbles and makes high noise while on high grinding mode.
But the high grinding mode isn't even necessary, it grinds well in low grinding mode.

P.S:
""The biggest mistake I did earlier was, went for the brand name. Don't be deceived by the brand names. (I meant Preethi, Philips, and Crompton Greaves)"".
This is the fourth mixer grinder in less than a year.
Earlier purchased Preethi(returned to Amazon), Philips(Unfortunately kept it), and Crompton(Sold it offline within 3-4 months usage), I feel Sujata is better than its competitions.

Update on 24/07/2021:
It's past, 3 months and fortunately no issues till now.

Update on 10/10/2021:
It's past almost 6 months and fortunately no issues till now.",51 people found this helpful
Ivan Coutinho,It surprises you with the power it has,5.0 out of 5 stars,Reviewed in India on 23 January 2019,Verified Purchase,"The First thing I did when i got this mixer was make Pepper powder. Put the mixer directly on high, the mixer made some noise for 1 second and then went on at full RPM. Stopped it within 10 seconds, checked the vessel only to see that the pepper was powdered so fine that it felt like talcum powder.

Next was Peanut butter which usually screwed up any mixer i tried it on. Nut not this one, oh no. This went on grinding even though the peanut butter extremely sticky and difficult to make. Within a minute my peanut butter was ready as was smooth as a paste.

Same goes for idli batter. It makes a noise for a few seconds and then grinds at full rpm without any issue.

The blades on all the mixer vessels are very close to the vessel base, which makes for high quality grinding.

Excellent product. My whole Family is happy. Then went on to buy another one for my Aunt. Now then have given the same feedback.

You won't regret buying this product.",103 people found this helpful
Atul,Quality Control Missing,1.0 out of 5 stars,Reviewed in India on 2 August 2020,Verified Purchase,,53 people found this helpful
Saj,Good product. Small issues with grinding chutneys.,4.0 out of 5 stars,Reviewed in India on 21 October 2019,Verified Purchase,"Purchased this recently for a deal during a sale, after getting good feedback about this Mixer Grinder. Have used the dome Jar for wet grinding for Iddli,Dosha etc., and it was so quick compared to my 750 watts old mixie, and the grinding was also good and smooth. Noise was also not so irritating. Also used the medium jar for coconut gravy etc. and for juicing watermelin juice and those were also good and fast.Yet to try dry grinding of turmeric,chilly etc.Will update the review then.
Regarding the build quality, the motor part is strong and good.The rotating part on the top is made of metal and not plastic like other mixers.Check the images attached. The dome grinder has clips as well.
The cover attachment around motor part is removable and therfore easy to clean.
Only slight con. felt is that the Jars are slightly loose fit to the motor part cover attachment. Not very loose but feel like we should keep our hands over the Jar while operating(as it is mentioned on all Jar lids already), so doubtful if that is fine or if thats any defect. My old mixer jars were kind of tight fit, so i have even left the wet grinding Jar to work on its own during the operation without keeping my hands above them(Not sure if that was recommended though).

Regarding packaging: It was tight enough and packing was flawless inside the Sujatha carton itself,which inturn was placed inside th amazon carton.

Satisfied now after few days of usage.Looks like this is very durable too.

Edit:Used small jar for chutney grinding and was not very satisfactory just for semi dry chutney.The Jar should be full for proper grinding of coconut for dry/semidry chutney.Adding more water will allow it to grind well but the chutney will become looser(thickgravy like) then.",58 people found this helpful
Saurabh,Returned it..,1.0 out of 5 stars,Reviewed in India on 30 June 2019,Verified Purchase,Product Recieved was defective...Disappointed...,68 people found this helpful
Amazon Customer,Excellent product,5.0 out of 5 stars,Reviewed in India on 28 November 2018,Verified Purchase,"It is really the best mixer grinder... people are generally not aware of Sujata products..they go for Bajaj, USHA, Philips, Panasonic, Havels ...Sujata mixer grinder is slightly costlier but are far, far better than all the leading brands...in the year 2000 I got as gift a Sujata mixer grinder on my wedding and used the same for about twelve years before mishandling by a neighbor cost me the grinder...l purchase three grinders one each of USHA Bajaj and philips in between before finally again purchasing this product from Sujata...",62 people found this helpful
Amal Borah,Return with good luck.,3.0 out of 5 stars,Reviewed in India on 10 May 2019,Verified Purchase,"May be value for money, may be material is good, may be durability is best. I do not hurt so many your loyel customer who reviewed positively about the product. Holder part of mixture grinder is not tight enough say loosely fitted that I decided to return the product because it may accident in future time. After receive back my money I will decide to purchase another model of this brand.",38 people found this helpful
