Name,Title,aiconalt,View,State,View1,asizebase
vinay hinduja,Very good,5.0 out of 5 stars,Reviewed in India on 1 October 2018,Verified Purchase,"I am writing this review after 3+ years of use. This has traveled with me to foreign shores and been used frequently to make chutneys, Idli batter, grind spices and myraid uses.
The product is doing well, is durable. It has been packed into travel cases etc, with ease, it is definitely not delicate. It is reasonable easy to clean and the plastic has thankfully not turned yellow or colorful as some of them tend to.",446 people found this helpful
Gaurav,Worst product from bajaj,1.0 out of 5 stars,Reviewed in India on 15 September 2018,Verified Purchase,"Worst quality. The multi purpose jar caught rust in just 3 months. The chutney jar lid flips open while grinding even after applying enough pressure on the lid and on the 1 power mode.
No wonder why this product is always on deal as it is one of the worst product.",322 people found this helpful
Mr. Raj Guru,Facing problem,1.0 out of 5 stars,Reviewed in India on 18 November 2016,Verified Purchase,"Dear sir,
I've purchased Bajaj Rex 500-Watt Mixer from ur site in Aug,16 but now this is started smelling when its get switched on. So kindly do the needful.",563 people found this helpful
Guru Santosh,Bajaj logo is not convinced whether fack or original,1.0 out of 5 stars,Reviewed in India on 17 October 2020,Verified Purchase,Why product logo is not same as image shown in the amozon purchase bajaj logo. Is there any change.  I dont whether product is fack one. Need get answer from bajaj or amazon team. Customer will be in confusion if this question raises.,56 people found this helpful
Baisakhi Roy,Great Product no.1 best mixture,5.0 out of 5 stars,Reviewed in India on 27 May 2018,Verified Purchase,I'm statistics with this pocket friendly lighting deal offer price Indian's best mixture in my home m so so happy!!!,106 people found this helpful
Sudarshan,Defective product recieved,3.0 out of 5 stars,Reviewed in India on 21 January 2019,Verified Purchase,,72 people found this helpful
Monica,Had to return,2.0 out of 5 stars,Reviewed in India on 8 November 2018,Verified Purchase,Smallest jar is useful. Finally I could make cashew dip without water! My issue is with the largest jar. It can't even crush bananas or cucumber to make a decent juice. So what I have to do is make a paste in smallest jar and then make juice using it in the largest jar! Impractical. No thanks.,54 people found this helpful
Aditya,Good for everyday use.Value for Money !!!,4.0 out of 5 stars,Reviewed in India on 28 January 2019,Verified Purchase,"Pros
Comes with a 500watt motor Which does the job well,priced appropriate,easy to Handel jars, Good for nuclear family.

Cons
Very noisy ,jars are little bit small,material quality nd jar fitting are average..

Will post an update after further use.",45 people found this helpful
Aman Kashyap,"Cute and Powerful Mixer, but a Noisy Motor.",4.0 out of 5 stars,Reviewed in India on 1 May 2019,Verified Purchase,"The mixer can grind, mix and shake anything you put in it. It's really powerful.

But it's noisy as hell. Specially when you increase the pulse.

Talking about cleaning the jars & machine, it's never been easy on any entry level mixers. And it's the same with this one.

The best thing about this mixer is that it takes a little space in the kitchen.

Overall, I'd suggest you go for it if you're looking for a good deal.",31 people found this helpful
Saini A.,This is not orginel,1.0 out of 5 stars,Reviewed in India on 24 August 2020,Verified Purchase,I reacved a defictive proudct and missing spons.. It is not orginel so i return this item... 😈😡😡😡,24 people found this helpful
Madhumita,6 Stars!,5.0 out of 5 stars,"Reviewed in India on February 3, 2019",Verified Purchase,"Amazing value for money. It just does the job. Grinds well. I made chutney, dosa batter and juice. All were easy to make. There were no lumps. Most of my work got done on the 1st setting itself. For Dosa batter I had to use 3rd. The lid plastic is of good quality and the rubber inside the lid looks durable too. The main body stays in place while mixy is in use. I am very satisfied with this product.",25 people found this helpful
Renu ,Waste of money,3.0 out of 5 stars,"Reviewed in India on January 24, 2021",Verified Purchase,It is became faulty with in 6 months they serviced but again became faulty with 15 days...I am not suggesting to buy this model,15 people found this helpful
Sreejesh P V,My honest review about the  bajaj mixer which I received.,1.0 out of 5 stars,"Reviewed in India on January 3, 2021",Verified Purchase,"My honest review about the bajaj mixer which I received.
1. bought this after researching for a 500w mixer. Bajaj is one of the best brand.
2. Mixer looks entirely different from what is displayed in the image.
3. Looks ugly with multiple marks.
4. One jar i found cracks. image is attached.
5. Another jar steel looks black or dark.",9 people found this helpful
Argha Roy,Overall it is a good mixer grinder,4.0 out of 5 stars,"Reviewed in India on June 10, 2020",Verified Purchase,"Very powerful and great mixer grinder.
The only flaw is the lid of the jars, which do not provide a very good seal. At first there were no problems, but after six months the rubber ring washer gets a bit bend, which compromises the sealing and result is scattered half grinded half liquid mixture, which is quite a disaster !
The only soultion is to apply a great amount of pressure on the lid during mixing.

It would have been better if the rubber ring type washer was made in such a way that it would have covered the part where the jar's edge and lid's edge meets, that way it could have provided a greater sealing.",7 people found this helpful
