Name,Title,aiconalt,View,State,View1,asizebase
Kevin,"A good mixer grinder, could be better",4.0 out of 5 stars,Reviewed in India on 1 November 2018,Verified Purchase,"It is a good little mixer grinder. The  design of this thing is amazing, it looks awesome in black and it's sleek curves make it easy to clean the mixer. It has a two pin plug to connect to power. It also has vents to push out the heat while it's grinding. The knob on the front looks great and I like the fact that it has the pulse feature built in the knob itself (NO separate button). It comes with three jars, a 0.3l, a 1l and a 1.5l. I do think the smallest jar could have been made a little bigger (say 500ml). All the three jars have fixed blades, this will be a problem if your blades becomes blunt ( I don't know how you'd replace them). The largest jar has a transparent lid, while the other two have opaque ones. The medium sized jar has no rubber gasket on the inside of the lid, so it doesn't close as tightly as the other two lids do. I don't know why Philips didn't include a gasket. Overall It's nice and the black color makes it blend well with my kitchen slab.",526 people found this helpful
Amazon Customer,4stars but there are few cons,4.0 out of 5 stars,Reviewed in India on 12 December 2018,Verified Purchase,"Philips is a durable brand,blindly trust it.
But have to mention few cons:
1.There is no gasket for the dry jar as per this model,it would have been nice if it came with package.You have buy separately.
2. I purchased the product on 10th Dec with price tag of 3044k but now the price is reduced to 2964k.Why there is price difference within one day.
3.Build quality seems OK but there is motor warranty upto 5yrs to compromise on it.",390 people found this helpful
Piyush,Thiss is a good one,5.0 out of 5 stars,Reviewed in India on 24 November 2017,Verified Purchase,"After so many searching, narrowed down to this model. Andthis one has delivered. Speed is good, build quality is industrial and looks matter. All three boxes that I require it checks. And the user (my mother) seems to enjoy using this. So, WIN WIN!",398 people found this helpful
Blue Al The Feared,Waste of hard earned money,1.0 out of 5 stars,Reviewed in India on 26 November 2020,Verified Purchase,"To everyone who's thinking to go for grinder please save yourself from the trouble. We have used it for many purpose but it's of no use . First of all, this product is only for dry grinding both small and medium with opaque lid and for wet grinding the biggest jar with transparent lid. Now coming to the actual disadvantages if you're going for it to use for dry grinding let me tell you the blades attached to the product are blunt they will not grind anything and you can clearly see the amount of material you have to use to be able to grind in the jar (capacity) in the shots i have attached , 0.6 litre in jar of 1.5 L (wet), 0.5 L in jar of 1.0 L (dry medium jar) , 0.17L in chutney jar of 0.3L . Now you can decide for yourself is it worth the cost you're paying ? That too on the product which comes with blunt blades ? I tell you what i had in mind when i decided to buy this one , 2 years warranty, brand, if the service center is close to the place i live and 750w power for an easy grind based on visual reviews on social media but they're all fake. Even if it had 1000W power motor i highly doubt it would grind due to quality of blades they ve provided. My bajaj grinder gx4( 500w) grinds better (both wet and dry in same jar ) than this waste. So before going for grinder keep these in mind,
1. Blades if they are strong you won't need a high power motor, even a 500 or 600w motor will do the job if their blades are sharp( make sure its stainless steel not aluminum or material with steel coating)
2. Check if jars provided are for dry or wet grinding or both (in case of attached blades) 3. Capacity how much can u actually use out of the jar.
4. Power 500, 600, 750 watt.
5. Quality of material.
5. Warranty , warranty at last because if you end up with product that doesn't grind what will you do with the warranty ? It will be useless.
Last thing, before buying online make sure the product is returnable, the grinder(kitchen product) comes with 10 days replacement policy and amazon refused to take return according to the policy. Ask your friends, relatives and buy offline because online market is filled with duplicate products especially in this time. Plus this model is already four years old.

PS I haven't attached the product pics as you all already know what it looks like.",118 people found this helpful
Neha,Please do not buy,1.0 out of 5 stars,Reviewed in India on 23 January 2019,Verified Purchase,I don't think this is original item. The blades are same for all 3 containers. It is of aluminium - definitely duplicate. The rubber of one of the lid of the container was missing. Did not used it. Returned the product.,144 people found this helpful
Amazon Customer,Sad quality from Philips,1.0 out of 5 stars,Reviewed in India on 26 November 2018,Verified Purchase,I paid a premium on the choices those were available on Amazon for the brand of Philips... But the quality was sad... Jars are small (not of standard size) also the blades not sharp enough... The vibration is too much... Like those old technology ancient mixers... Also due to vibration the lid of the jars opens up... No interlocking system... Really sad to have this from philips.,104 people found this helpful
Muhammad Haseeb,Noisy Neighbour,1.0 out of 5 stars,Reviewed in India on 22 May 2019,Verified Purchase,"This mixer doesn't match the Philips standards.
Very high noise levels.
There is no proper way to lock the jar caps.
The cap could just fly in air any time when you use it.
It will get messed up.
Bottom is unstable.
There are screws inside the jars which has already started rusting.

Disappointed.",79 people found this helpful
EmBee,Powerful but very NOISY,3.0 out of 5 stars,Reviewed in India on 24 May 2018,Verified Purchase,"Noisiest Mixer Grinder ever used.
Very powerful and does heavy grinding in minutes.
After 6 months of use, no breaking of jars, handles or lids.",103 people found this helpful
Viswanath,New Phillips Mixer went bad in 5 days,1.0 out of 5 stars,Reviewed in India on 31 January 2019,Verified Purchase,"I purchased this brand new Phillips Mixer from Amazon because of the ""Phillips"" brand. The quality of the appliance is not good for following reasons:
1. The motor noise too high as compared other mixer (Preeti, Sumeet)
2. The Mixer jar holder went bad within a week; so it becomes in-usable state. So I had return the item.

I really appreciate the Amazon for prompt service by accepting the cancellation and refund the full amount.

Thank you.",61 people found this helpful
K kasture,Bad products.,1.0 out of 5 stars,Reviewed in India on 8 March 2020,Verified Purchase,Video Player is loading.,40 people found this helpful
