Name,Title,aiconalt,View,State,View1,asizebase
Simply,Extremely poor quality mixer grinder product.,1.0 out of 5 stars,Reviewed in India on 1 August 2018,Verified Purchase,"As I am an experienced Electro/mechanical engineer, I can clearly see that the jar quality is extremely poor quality. Specially the blades. Please make arrangements to reimburse the total amount and take back the mixi.
As I am dealing directly and indirectly with Amazon for many years, (also from US) I never expected such things earlier.",283 people found this helpful
Swathi yadla,Very disappointed with product from cloudtail india,1.0 out of 5 stars,Reviewed in India on 25 April 2018,Verified Purchase,"The motor gets heaten up within 5 seconds and slowly the jar becomes very hot even grinding water melon or banana. It appears like duplicate product. For sure if it was 750 watt motor, it would not have heaten up that fast. Even the grinding is not happening properly",201 people found this helpful
C K Pithawa,Big 1.5 Ltr jar leaks,1.0 out of 5 stars,Reviewed in India on 1 September 2018,Verified Purchase,"I bought this item on recommendation of my friend. I used it with two small jars and it worked well. However, when I used the big jar after a week or so, I found it leaking. I wanted to return it to the supplier through Amazon, but by that time the return date was over. I should have checked the big jar immediately after receiving the item. When I contacted Preethi service centre to come and repair, the answer was that I have to take the item to their service centre which is about 12 kms away from my residence.  I have to plan to go there one day. Till today, it is lying unused.",171 people found this helpful
Aswin,Not the old reliable preethi anymore. Weak Leaking Jar,2.0 out of 5 stars,Reviewed in India on 9 September 2019,Verified Purchase,,44 people found this helpful
anil Kumar,super duper,5.0 out of 5 stars,Reviewed in India on 13 December 2018,Verified Purchase,iam eletrican and technical...iteam is super ..(rohs...and...tuv rehineland) international certifications of preeti brand....some fools are miss understanding of preethi...trust of brand....super grinder....super motor....qualityis good abs plastic body guniune product....auto voltage cut off technology,53 people found this helpful
Amazon Customer,Buy it in shops... worst online product i ve ever bought,1.0 out of 5 stars,Reviewed in India on 9 July 2018,Verified Purchase,Dont buy it online.... better to get in shops as i see many issues later on.... broken lid... big stainless steel jar got grooves in a weeks time....,48 people found this helpful
kalaiguna,Nice mixer grinder for my kitchen,5.0 out of 5 stars,Reviewed in India on 10 July 2018,Verified Purchase,"After two weeks of R&D on various websites and amazon, I decided to buy this product.
This mixie makes less noise and grinds well very fast.
Nice mixer grinder for my kitchen.
Got it within a week thru amazon standard delivery for free.
Strongly recommended for any one who wish to buy it.",42 people found this helpful
Mika,Good buy,5.0 out of 5 stars,Reviewed in India on 17 September 2020,Verified Purchase,"Got it for my mother and she is extremely happy with it. The design is good but the real purpose of mixer? - The grinding is good, doesn't heat up too fast and the noise also isn't too much. My baby cries when one of our neighbor runs her mixer but here at home with Preethi Blue leaf, no cries as noise is in acceptable range.",14 people found this helpful
Nazeer,"Please don't waste your money by buying ""Preethi Blue Leaf Diamond 750 Watt Mixer Grinder""  !!",1.0 out of 5 stars,Reviewed in India on 22 June 2020,Verified Purchase,"After using 5months thought to write feedback.
1. Product is from good mixer brand Preethi. ""However this model is disastrous""
2. Undergone ""more than 5times repair"" like, (Blade, Coupler damage, etc..)
3. Although, capacity states 750w, it hardly performs (frequent tripping - real test for patience)
4. Neither customer service nor availability of nearby brand shops - greatly disappointed
5. Eventually, after series of repairs, we have decided to buy new mixer from ""reputed brand""
6. Truly pathetic product, particularly ""Preethi Blue Leaf Diamond""
7. Preethi brand not ready to repair or replace the product, instead suggested to reach out to Amazon, isn't it funny ? Poor customer care response!

Bottom line: based on my personal experience, i strongly suggest ""Not to waste money buying this product"" it is not just money, it is about ""daily and weekly hassles"" therefore ""you may end-up buying another product""

Regards",10 people found this helpful
Amazon Customer,Technician would be needed every quarter,1.0 out of 5 stars,Reviewed in India on 20 August 2019,Verified Purchase,"Hi
Had taken Preeti mixer after hearing great reviews from some friends but I guess that the current designs are not great at all.
In nearly 9months of use had to call the technician nearly 3-4times to get the wheel which rotates the jar fixed as it losens from the wheel below. We are a family of 3 and our usage is very limited with the jars as we don't grind any idli Rosa Bater etc in it.

This is a technical mistake that cannot be rectified and technician visit every quarter would be a must.

My recommendation is to check the mixer jars technically before you purchase.",16 people found this helpful
