Name,Title,aiconalt,View,State,View1,asizebase
Subhasis G.,More than what is expected.demoralised now.,4.0 out of 5 stars,Reviewed in India on 27 August 2018,Verified Purchase,"This is the 3rd processor I am using in last 18 years. Singer, Kenstar and now this. After lot of research I have gone for this. Excellent product performance has gone beyond my expectation. A little more noise may be because of higher motor power. I am highly recommending this product to all specially for the size and high utility of Chatney jar. I can comment on durability after a year only but till date it is superb. Value for money. Thanks Amazon for promoting such good product. After sales service I haven't required yet and I think with Amazon there will be no problem if required at all.
But now the small bowl has cracked in October as it is July purchased. Will try for replacement",512 people found this helpful
Muni Kumar,Super,5.0 out of 5 stars,Reviewed in India on 31 October 2018,Verified Purchase,Super,359 people found this helpful
amoz,Looks good. Powerful,3.0 out of 5 stars,Reviewed in India on 22 July 2018,Verified Purchase,"Pros....

Looks good.
Powerful.

Cons.....
Cheap Plastic is used in this product.
Toooo noisy
Vegetable shredder stopped working.
Not at all good for juice extraction.
atta kneading will not work properly ...
not worth for 7k price range.",370 people found this helpful
BabaYaga,Honest Zodiac mixer grinder review,1.0 out of 5 stars,Reviewed in India on 31 October 2019,Verified Purchase,"As of OCT-31-2019, there are over 250 people who has given bad reviews on this mixer. And I do agree with them because the quality of this 750W mixer grinder compared to the better Brand competitors like Bosch and Ultra, who offers you 1000W for lesser price than Preeti. I'm writing this review to help people not to be misguided by some five star reviews, I'm just saying there are other good brands like Bosh and Ultra. I request you to carefully search for reviews on this mixer before buying. And I also request Amazon to consider this and collect feedback from other buyers as well and stop selling this mixer grinder not to mention the service from Preeti is awful compared to Bosch. And again the quality of Preeti mixer is just horrible. The jar nicks, dents and dings. The lid breaks if you just accidentally drop it from 5 feet to ground. Amazon only gives you replacement and no refund for this order. Lastly, I request y'all please don't buy this product. And those photos are from the damaged mixer grinder which I've received for the second time which are damaged inside the box which shows the durability of the steel jars. I suggest you checkout the other images from the reviews which has different images of parts broken.",151 people found this helpful
Ram Charan Kothapalli,Best product for juicer as well as mixers,5.0 out of 5 stars,Reviewed in India on 18 January 2019,Verified Purchase,Well i use mostly for juices i love it ! And mostly for house use u can do anything!,158 people found this helpful
@j@y t@wr@ni,Super Pathetic,1.0 out of 5 stars,Reviewed in India on 3 November 2018,Verified Purchase,"Pathetic product. Plz don't go by its looks or the video they have shown. Barely after using it for 6 months, the wheels of the jars have started to give up. The mechanism of the aata kneading jar has gone bad completely after the regular use of 6 months & we've been told to buy a new jar. Initially we did not need all the jars & hence we'd kept it one as spare only to realize it later that one of the jars was actually broken. After using kenstar for more than  11yrs, I totally regret buying this product. Their customer care was of no help, when emailed the customer care of their company for the assistance. There are no replacement jars available in the market & the ones available online are expensive.",129 people found this helpful
Arun,Detailed review which many might miss,3.0 out of 5 stars,Reviewed in India on 1 March 2019,Verified Purchase,"The product is good. It does the job as promised in the advertisements.
The master chef jar is very good:
Chopping and and grating happens in minutes. But the blades in the rotating disc cuts the plastic along with the vegetable. We made carrot halwa and i was astonished with the speed at which the blades were grating the carrot. But only while eating carrot halwa we came to know that the blades were also grating the plastic lid that was coming in contact with the blades. It is not healthy to eat plastic right !!!.

Dont use atta maker unless you are in a hurry. The chappati or roti wont be soft.
Citrus juice extractor needs to be handled with caution. It may hurt your fingers.

Juicing jar:
Juicing jar is fine. But be careful what you add in the juicing jar. If you use juicing jar for extracting milk out of coconut dont use dispencing lid . It will break the dispensing lid for sure.",91 people found this helpful
siddhu,ordered it for my mother as it was suggested by friend. Plastic is very poor quality.kneader broken.,1.0 out of 5 stars,Reviewed in India on 18 January 2019,Verified Purchase,"Worst plastic used. Not even average quality. I dont suggest this brand to any one.
I opened as i am in hometown for pongal.",94 people found this helpful
MAG,In 2 weeks vegetable chopper had stopped working,3.0 out of 5 stars,Reviewed in India on 25 June 2017,Verified Purchase,"Less than 2 weeks of its use vegetable chopper is not working..... Amozon.in and preethi authorities please interven, what has to be done now I trusted both companies in buying, who will take the responsibility now.... didn't expected such quality from Preeti

After my observation i found that basenut has lost its strength and not allowing to work.....it happened after using less than 10 times....

Well i went to Preethi service centre at patny they replied as no parts available currently, and guided me to go another service centre which was located at nallakunta....their the replaced the part.

Personally i trust preeti, so considering my first issue i suggest preeti to keep an on final QA/QC before dispatch.",116 people found this helpful
Sanket Bangar,Excellent Product worth to buy,5.0 out of 5 stars,Reviewed in India on 31 May 2020,Verified Purchase,Video Player is loading.,42 people found this helpful
,,,,,,
gaurav baghla,Received Open Box,1.0 out of 5 stars,"Reviewed in India on September 14, 2018",Verified Purchase,I received an open box and still have not seen the entire product as this came on a working day I will check the entire items and would return the product if something is missing. But Guys an Open box come on,65 people found this helpful
Aishwarya  Pratap Singh,Seriously not recommended....Very disappointed....Don't buy !!!!,1.0 out of 5 stars,"Reviewed in India on May 3, 2020",Verified Purchase,"Built Quality :- Let's start from the built quality, Although the product looks premium in the advertisements, in reality, the plastic used is of VERY AVERAGE quality. JARS ARE ALL PLASTIC which was not expected at this price point...Average build was not expected from such a reputed brand.

Customer Service/ Support :- Upon receiving the product, I did not recieve even a single call for installation or demo etc. from the company/ brand although the other competing brands are providing proper installation and demonstration with their products. Spares and Service are available only in very limited states and service and spares are PRACTICALLY NON -EXISTENT IN NORTH INDIA. So, if you bought this mixer grinder in North India, and your product develops problems , You are literally doomed..!!

Durability :- Although we are a family of just 2, and cook only once in a day, and sometimes even use the mixer grinder just one or twice in a whole week., But, Within 6 months, the coupler came out and had to be replaced. But, since spare parts availability is such an issue in North India , I had to buy replacement coupler from third party.

Grinding :- 1.) Although motor is advertised to be heavy (750 watts), but the grinding quality is very AVERAGE. The grinding is NOT UNIFORM and even while grinding relatively softer items like biscuits or smoothies, we must expect LUMPS ....(Imagine my surprise, when It took me 3 cycles of grinding just to grind soft biscuits into a lump free mass...)
2.) Noise levels from the motor are very high and I would recommend to use some kind of ear protection if using the mixer grinder for prolonged duration.

Overall a very AVERAGE PERFORMANCE and therefore not worthy of its premium price tag.....",25 people found this helpful
Ignatious c,Very bad plastic.,3.0 out of 5 stars,"Reviewed in India on April 10, 2018",Verified Purchase,Plastic lids bread in pieces if dropped accidentally on floor. Very bad plastic.,58 people found this helpful
Jose,Don't recommend anybody,1.0 out of 5 stars,"Reviewed in India on October 14, 2020",Verified Purchase,"This is really disappointed me Amazon.
Actually I brought this product as per lots of reviews,
But unfortunately I received bad product
When I was trying to make juice, the smoke coming from coupler.
Immediately I tried to replace the product,
Amazon behaves irresponsibly
The answer was, u can talk to company or technician.
While Iwas purchase this product
They promised 10 days replacement.
What is the meaning of this
They really cheating people
I really disappointed with Amazon.",17 people found this helpful
Gayathri,Awesome product,5.0 out of 5 stars,"Reviewed in India on February 27, 2022",Verified Purchase,"This is such a wonderful mixie, Using it for the last one month, The master chef jar is worth the money, you can do chopping, slicing, atta kneading and more in the jar, there are many you tube videos regarding the using of this jar.. I bought it specially for masala grinding, and am really satisfied with the end result of sambar powder.. Simply go for it, if you are looking for a good mixer...",11 people found this helpful
